id,approved,reason_for_rejection,accepted_under_conditions
1,False,"['DTI ratio too high: 66.67%.', 'FEDTI ratio above preferred level of 28%.']",[]
2,False,"['Credit score below 640.', 'DTI ratio too high: 109.94%.', 'FEDTI ratio above preferred level of 28%.']",[]
3,False,"['DTI ratio too high: 68.85%.', 'FEDTI ratio above preferred level of 28%.']",[]
4,True,[],['PMI required due to LTV ratio between 80% and 95%.']
5,False,"['Credit score below 640.', 'DTI ratio too high: 179.28%.', 'FEDTI ratio above preferred level of 28%.']",[]
6,True,[],[]
7,True,[],['PMI required due to LTV ratio between 80% and 95%.']
8,True,[],[]
9,True,[],['PMI required due to LTV ratio between 80% and 95%.']
10,False,"['Credit score below 640.', 'DTI ratio too high: 43.83%.', 'FEDTI ratio above preferred level of 28%.']",[]
11,False,"['DTI ratio too high: 102.74%.', 'FEDTI ratio above preferred level of 28%.']",[]
12,False,"['DTI ratio too high: 43.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
13,True,[],['PMI required due to LTV ratio between 80% and 95%.']
14,False,"['Credit score below 640.', 'DTI ratio too high: 83.96%.', 'FEDTI ratio above preferred level of 28%.']",[]
15,False,['Credit score below 640.'],[]
16,True,[],['PMI required due to LTV ratio between 80% and 95%.']
17,False,"['Credit score below 640.', 'DTI ratio too high: 98.51%.', 'FEDTI ratio above preferred level of 28%.']",[]
18,False,"['Credit score below 640.', 'DTI ratio too high: 53.70%.', 'FEDTI ratio above preferred level of 28%.']",[]
19,False,"['Credit score below 640.', 'DTI ratio too high: 64.91%.', 'FEDTI ratio above preferred level of 28%.']",[]
20,False,"['DTI ratio too high: 68.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
21,False,"['DTI ratio too high: 131.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
22,False,"['Credit score below 640.', 'DTI ratio too high: 83.20%.', 'FEDTI ratio above preferred level of 28%.']",[]
23,False,"['DTI ratio too high: 58.63%.', 'FEDTI ratio above preferred level of 28%.']",[]
24,False,"['Credit score below 640.', 'DTI ratio too high: 46.58%.', 'FEDTI ratio above preferred level of 28%.']",[]
25,False,"['DTI ratio too high: 100.96%.', 'FEDTI ratio above preferred level of 28%.']",[]
26,False,"['Credit score below 640.', 'DTI ratio too high: 50.17%.', 'FEDTI ratio above preferred level of 28%.']",[]
27,False,"['Credit score below 640.', 'DTI ratio too high: 111.44%.', 'FEDTI ratio above preferred level of 28%.']",[]
28,False,"['Credit score below 640.', 'DTI ratio too high: 45.03%.']",[]
29,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
30,True,[],[]
31,True,[],[]
32,False,"['Credit score below 640.', 'DTI ratio too high: 46.51%.', 'FEDTI ratio above preferred level of 28%.']",[]
33,True,[],['DTI ratio above preferred level of 36%.']
34,False,"['Credit score below 640.', 'DTI ratio too high: 101.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
35,True,[],['PMI required due to LTV ratio between 80% and 95%.']
36,False,"['DTI ratio too high: 117.95%.', 'FEDTI ratio above preferred level of 28%.']",[]
37,False,"['DTI ratio too high: 114.16%.', 'FEDTI ratio above preferred level of 28%.']",[]
38,True,[],['PMI required due to LTV ratio between 80% and 95%.']
39,False,"['DTI ratio too high: 50.24%.', 'FEDTI ratio above preferred level of 28%.']",[]
40,False,['Credit score below 640.'],[]
41,False,"['Credit score below 640.', 'DTI ratio too high: 43.67%.']",[]
